,VarÄ±ÅŸBÃ–LGE,VarÄ±ÅŸBayi,il,lat,long,Km,TÄ±rOranÄ±%,DÃ¶nÃ¼ÅŸOranÄ±%,T,K,T.1,K.1,T.2,K.2,T.3,K.3,T.4,K.4,T.5,K.5,T.6,K.6,T.7,K.7,T.8,K.8,T.9,K.9,T.10,K.10,T.11,K.11,TÄ±r,Kamyon,T.12,K.12,T.13,K.13,T.14,K.14,T.15,K.15,T.16,K.16,T.17,K.17,T.18,K.18,T.19,K.19,T.20,K.20,T.21,K.21,T.22,K.22,T.23,K.23,TÄ±r.1,Kamyon.1
52,GÃœNEYDOÄžU&DOÄžUANADOLU,VAN,VAN,38.3249599,43.6589825,1776,0.98,0.73,1,0,2,0,3,0,2,0,1,0,5,0,4,0,4,0,5,0,4,0,4,0,4,0,38,1,1,0,1,0,2,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,28,0
53,Ä°Ã‡ANADOLU,AKSARAY,AKSARAY,38.4326291,33.8976963,692,0.38,0.73,0,1,1,1,1,1,0,1,1,1,1,2,2,3,2,2,1,2,1,2,1,2,1,1,12,20,0,0,1,1,1,1,0,0,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,9,14
54,Ä°Ã‡ANADOLU,ANKARA,ANKARA,39.9207486,32.8540093,580,0.98,0.69,63,1,73,1,88,1,62,1,95,2,170,3,139,2,129,2,121,2,99,2,125,2,130,2,"1,292",21,43,1,50,1,60,1,42,1,65,1,117,2,96,2,89,1,84,1,68,1,86,1,89,1,890,14
55,Ä°Ã‡ANADOLU,CORUM,CORUM,40.5698389,34.7269292,822,0.65,0.69,2,1,2,1,4,2,4,2,6,3,8,4,6,3,9,5,2,1,10,5,2,1,3,2,57,30,1,1,1,1,2,1,2,1,4,2,5,3,4,2,6,3,2,1,7,3,2,1,2,1,39,21
56,Ä°Ã‡ANADOLU,Ã‡ANKIRI,CANKIRI,40.6667691,33.4526069,660,0.59,0.65,1,1,1,1,2,1,1,1,1,1,3,2,3,2,2,2,3,2,2,2,2,1,1,0,21,15,1,0,1,0,1,1,1,0,1,1,2,1,2,1,2,1,2,1,2,1,1,1,0,0,14,10
57,Ä°Ã‡ANADOLU,"GÃœDÃœL,ANKARA",ANKARA,40.2011661,32.23581972,580,0.38,0.73,1,2,1,2,1,2,1,2,1,2,3,4,2,4,2,4,2,4,2,3,2,3,1,2,20,32,1,1,1,2,1,1,1,1,1,1,2,3,2,3,2,3,2,3,1,2,1,2,1,1,15,23
58,Ä°Ã‡ANADOLU,KAYSERI,KAYSERI,38.6582232,35.5546374,872,0.92,0.73,5,0,7,1,6,1,6,1,6,1,15,1,9,1,15,1,14,1,9,1,12,1,14,1,117,10,4,0,5,0,5,0,5,0,5,0,11,1,7,1,11,1,10,1,6,1,8,1,10,1,85,7
59,Ä°Ã‡ANADOLU,KIRIKKALE,KIRIKKALE,39.8473604,33.5144853,670,0.85,0.73,2,0,4,1,5,1,3,1,5,1,8,1,9,2,7,1,7,1,5,1,7,1,3,1,64,11,1,0,3,0,3,1,2,0,3,1,6,1,6,1,5,1,5,1,4,1,5,1,2,0,46,8
60,Ä°Ã‡ANADOLU,KIRSEHIR,KIRSEHIR,39.1461142,34.1605587,735,0.85,0.63,1,0,2,0,3,1,2,0,3,1,5,1,6,1,5,1,4,1,3,1,5,1,2,0,42,8,1,0,1,0,2,0,1,0,2,0,3,1,4,1,3,1,3,0,2,0,3,1,1,0,27,5
61,Ä°Ã‡ANADOLU,KONYA,KONYA,37.8719963,32.4844015,550,0.85,0.73,10,2,11,2,11,2,5,1,7,1,21,4,19,3,17,3,17,3,8,2,16,3,4,1,147,26,7,1,8,1,8,1,4,1,5,1,15,3,14,2,12,2,12,2,6,1,12,2,3,1,108,19
62,Ä°Ã‡ANADOLU,NIGDE,NIGDE,38.0664691,34.7051438,691,0.92,0.67,4,0,6,1,6,1,4,0,6,0,13,1,12,1,10,1,9,1,9,1,9,1,5,0,93,8,3,0,4,0,4,0,3,0,4,0,9,1,8,1,7,1,6,0,6,1,6,1,4,0,63,5
63,Ä°Ã‡ANADOLU,NEVSEHIR,NEVSEHIR,38.7235072,34.7194168,761,0.92,0.59,1,0,1,0,2,0,1,0,1,0,3,0,3,0,2,0,2,0,2,0,2,0,1,0,23,2,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,14,1
64,Ä°Ã‡ANADOLU,K.EREGLI,KONYA,37.5142466,34.0480033,682,0.78,0.75,3,1,2,1,3,1,3,1,3,1,8,2,8,2,6,2,5,1,5,1,6,2,2,1,55,16,2,1,2,1,3,1,2,1,3,1,6,2,6,2,4,1,4,1,4,1,5,1,2,0,41,12
65,Ä°Ã‡ANADOLU,POLATLI,ANKARA,39.4579327,32.17548926,503,0.92,0.65,3,0,4,0,3,0,2,0,2,0,6,1,4,0,5,0,5,0,4,0,5,0,2,0,46,4,2,0,2,0,2,0,1,0,1,0,4,0,3,0,3,0,3,0,3,0,3,0,1,0,30,3
66,Ä°Ã‡ANADOLU,SIVAS,SIVAS,39.4191717,37.1012388,1023,0.78,0.69,1,0,2,1,1,0,1,0,2,1,4,1,4,1,4,1,4,1,3,1,1,0,4,1,32,9,1,0,1,0,1,0,1,0,1,0,3,1,3,1,3,1,3,1,2,1,1,0,3,1,22,6
67,Ä°Ã‡ANADOLU,"DÄ°VRÄ°GÄ°,SÄ°VAS",SIVAS,39.37041965,38.03575655,966,0.85,0.65,1,0,2,0,2,0,1,0,3,0,4,1,5,1,4,1,4,1,2,0,2,0,2,0,33,6,1,0,1,0,1,0,1,0,2,0,2,0,3,1,3,0,3,1,1,0,2,0,1,0,21,4
68,Ä°Ã‡ANADOLU,YOZGAT,YOZGAT,39.8205571,34.8094917,1023,0.71,0.62,2,1,2,1,2,1,2,1,1,0,4,2,5,2,4,2,2,1,4,2,3,1,1,0,34,13,1,0,1,1,1,1,1,0,1,0,3,1,3,1,3,1,2,1,3,1,2,1,1,0,21,8
69,Ä°STANBULAVRUPA,BAHCELIEVLER,ISTANBUL,38.881312,35.6277609,550,0.98,0.65,20,0,34,1,23,0,12,0,18,0,48,1,37,1,35,1,29,0,39,1,33,1,53,1,380,6,13,0,22,0,15,0,8,0,12,0,31,1,24,0,22,0,19,0,26,0,21,0,35,1,247,4
70,Ä°STANBULAVRUPA,BAKIRKOY,ISTANBUL,40.9835414,28.8679735,558,0.98,0.73,12,0,14,0,11,0,7,0,13,0,24,0,27,0,17,0,12,0,25,0,19,0,9,0,189,3,8,0,10,0,8,0,5,0,9,0,18,0,20,0,12,0,9,0,18,0,13,0,7,0,137,2
71,Ä°STANBULAVRUPA,ESENYURT,ISTANBUL,41.0342402,28.6800178,581,0.98,0.74,22,0,25,0,23,0,13,0,26,0,41,1,46,1,37,1,30,0,36,1,32,1,46,1,379,6,16,0,19,0,17,0,10,0,19,0,30,0,34,1,28,0,22,0,27,0,24,0,34,1,279,5
72,Ä°STANBULAVRUPA,AVRUPA,ISTANBUL,38.7489073,41.50868567,535,0.98,0.69,76,1,86,1,91,1,68,1,83,1,155,3,150,2,125,2,106,2,101,2,126,2,152,2,"1,320",21,52,1,59,1,62,1,47,1,57,1,107,2,104,2,86,1,73,1,70,1,87,1,105,2,909,15
73,Ä°STANBULAVRUPA,SEFAKOY,ISTANBUL,40.8997011,40.3093913,570,0.98,0.73,10,0,24,0,21,0,11,0,18,0,34,1,37,1,33,1,32,1,22,0,34,1,32,1,308,5,8,0,17,0,15,0,8,0,13,0,24,0,27,0,24,0,23,0,16,0,25,0,23,0,224,4
74,Ä°STANBULAVRUPA,SILIVRI,ISTANBUL,41.0732043,28.2469222,558,0.98,0.73,10,0,11,0,13,0,5,0,14,0,34,1,39,1,25,0,25,0,9,0,12,0,21,0,219,4,7,0,8,0,10,0,4,0,10,0,24,0,29,0,18,0,18,0,7,0,9,0,15,0,159,3
75,Ä°STANBULAVRUPA,SILIVRISELIMPASA,ISTANBUL,41.0609656,28.3378927,550,0.98,0.73,10,0,13,0,11,0,6,0,13,0,22,0,22,0,18,0,17,0,10,0,11,0,18,0,170,3,7,0,9,0,8,0,4,0,9,0,16,0,16,0,13,0,12,0,8,0,8,0,13,0,124,2
76,KUZEYANADOLU,AMASYA,AMASYA,40.6503248,35.8329148,943,0.85,0.77,2,0,3,1,5,1,2,0,4,1,11,2,7,1,10,2,8,1,8,1,5,1,14,2,80,14,2,0,2,0,4,1,2,0,3,1,8,2,5,1,7,1,6,1,6,1,4,1,11,2,61,11
77,KUZEYANADOLU,ARDAHAN,ARDAHAN,41.0372501,42.7462189,1680,0.29,0.73,0,1,0,1,0,1,0,1,0,1,1,2,1,2,1,2,1,1,1,1,0,1,0,1,5,13,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,4,9
78,KUZEYANADOLU,ARTVIN,ARTVIN,41.160506,41.8398627,1552,0.92,0.66,2,0,1,0,3,0,2,0,3,0,8,1,7,1,5,0,3,0,4,0,5,0,3,0,45,4,1,0,1,0,2,0,1,0,2,0,5,0,4,0,3,0,2,0,3,0,4,0,2,0,30,2
79,KUZEYANADOLU,ERZINCAN,ERZINCAN,39.7496052,39.4941023,1263,0.85,0.73,2,0,3,1,3,1,2,0,5,1,7,1,7,1,6,1,6,1,5,1,3,1,3,1,52,9,1,0,2,0,2,0,1,0,4,1,5,1,5,1,4,1,4,1,4,1,2,0,2,0,38,7
80,KUZEYANADOLU,ERZURUM,ERZURUM,39.9063215,41.2727638,1448,0.78,0.76,3,1,2,1,2,1,1,0,1,0,4,1,4,1,4,1,4,1,3,1,4,1,3,1,35,10,2,1,2,0,2,1,1,0,1,0,3,1,3,1,3,1,3,1,2,1,3,1,2,1,27,8
81,KUZEYANADOLU,GIRESUN,GIRESUN,40.9146927,38.3885568,1201,0.98,0.69,8,0,10,0,9,0,7,0,5,0,19,0,24,0,19,0,17,0,9,0,10,0,5,0,142,2,6,0,7,0,6,0,5,0,3,0,13,0,16,0,13,0,12,0,7,0,7,0,4,0,97,2
82,KUZEYANADOLU,KASTAMONU,KASTAMONU,41.3680217,33.7619177,861,0.71,0.69,4,1,2,1,3,1,3,1,3,1,6,2,6,2,5,2,5,2,7,3,5,2,4,2,51,21,2,1,2,1,2,1,2,1,2,1,4,2,4,2,3,1,3,1,4,2,3,1,3,1,35,14
83,KUZEYANADOLU,ORDU,ORDU,40.8292569,37.4082764,1201,0.98,0.69,4,0,5,0,7,0,5,0,5,0,15,0,15,0,15,0,13,0,8,0,8,0,10,0,109,2,3,0,3,0,5,0,4,0,3,0,10,0,10,0,10,0,9,0,6,0,6,0,7,0,75,1
84,KUZEYANADOLU,RIZE,RIZE,41.022809,40.519612,1411,0.85,0.69,1,0,2,0,3,0,1,0,2,0,6,1,8,1,7,1,5,1,1,0,2,0,1,0,39,7,0,0,1,0,2,0,1,0,1,0,4,1,5,1,5,1,4,1,1,0,1,0,1,0,27,5
85,KUZEYANADOLU,SAMSUN,SAMSUN,41.2892334,36.328565,996,0.97,0.73,10,0,12,0,11,0,9,0,9,0,26,1,22,1,17,1,18,1,14,0,18,1,24,1,190,6,7,0,9,0,8,0,7,0,6,0,19,1,16,1,12,0,13,0,10,0,13,0,18,1,138,4
86,KUZEYANADOLU,SINOP,SINOP,41.6394277,34.8681231,1039,0.85,0.73,4,1,4,1,4,1,3,1,4,1,9,2,12,2,7,1,6,1,7,1,6,1,7,1,73,13,3,0,3,1,3,1,2,0,3,0,7,1,8,1,5,1,4,1,5,1,4,1,5,1,53,9
87,KUZEYANADOLU,TRABZON,TRABZON,41.0058605,39.7180928,1333,0.98,0.69,8,0,8,0,6,0,6,0,5,0,21,0,17,0,14,0,13,0,6,0,13,0,13,0,131,2,6,0,5,0,4,0,4,0,3,0,15,0,12,0,10,0,9,0,4,0,9,0,9,0,90,1
88,KUZEYANADOLU,TURHAL,TOKAT,40.40056985,36.12593009,938,0.78,0.65,2,1,3,1,5,1,3,1,9,2,11,3,11,3,11,3,8,2,5,1,5,1,9,2,81,23,1,0,2,1,3,1,2,0,6,2,7,2,7,2,7,2,5,1,3,1,3,1,6,2,52,15
89,GÃœNEYDOÄžU&DOÄžUANADOLU,TARSUS,MERSIN,36.9167086,34.8842859,795,0.98,0.69,3,0,5,0,5,0,4,0,4,0,16,0,8,0,9,0,8,0,6,0,7,0,8,0,83,1,2,0,3,0,4,0,3,0,3,0,11,0,5,0,6,0,6,0,4,0,5,0,6,0,57,1
90,KUZEYANADOLU,KARS,KARS,40.4558435,42.9979531,1801,0.86,0.45,2,,2,,2,1,2,,2,,2,1,2,,2,,2,1,2,,2,,2,1,24,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,11,2
91,"KEYACC,AVRUPA",KÃœÃ‡ÃœKKÃ–Y,ISTANBUL,41.270531,41.381649,535,0.06,0.68,0,4,0,0,0,1,0,2,0,1,0,2,0,0,0,1,0,1,0,1,0,2,0,1,1,16,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,1,1,11
92,"KEYACC,AVRUPA",ARNAVUTKÃ–Y,ISTANBUL,41.184182,28.7407289,535,0.06,0.68,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
93,"KEYACC,AVRUPA",BEYLÄ°KDÃœZÃœ,ISTANBUL,41.0010262,28.6419843,535,0.06,0.68,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,6
94,"KEYACC,ASYA",KARTAL,ISTANBUL,40.8884921,29.1896017,535,0.21,0.68,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,2,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5
95,"KEYACC,KUZEYANADOLU",SAMSUN,SAMSUN,41.2892334,36.328565,996,0.06,0.68,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,7,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5
96,GÃœNEYMARMARA,BALIKESIR,BALIKESIR,39.5400798,28.0228793,174,0.98,0.72,8,0,11,0,14,0,5,0,8,0,21,0,30,0,16,0,18,0,11,0,19,0,19,0,179,3,6,0,8,0,10,0,3,0,6,0,15,0,21,0,12,0,13,0,8,0,13,0,14,0,129,2
97,GÃœNEYMARMARA,BANDIRMA,BALIKESIR,40.3500505,27.974578,268,0.78,0.76,5,1,5,1,6,2,5,1,9,2,20,6,24,7,20,6,8,2,12,3,8,2,12,3,133,38,3,1,4,1,5,1,4,1,7,2,15,4,19,5,15,4,6,2,9,3,6,2,9,2,102,29
98,GÃœNEYMARMARA,BIGADIC,BALIKESIR,39.4310171,28.25280737,165,0.06,0.74,0,1,0,2,0,1,0,1,0,1,0,2,0,4,0,3,0,2,0,3,0,3,0,4,2,26,0,1,0,1,0,1,0,1,0,1,0,2,0,3,0,2,0,1,0,2,0,2,0,3,1,19
99,GÃœNEYMARMARA,BOZOYUK,MUGLA,39.9034245,30.0518745,399,0.92,0.65,7,1,9,1,10,1,5,0,5,0,19,2,19,2,12,1,10,1,18,1,9,1,15,1,137,12,5,0,6,0,6,1,3,0,3,0,12,1,12,1,7,1,7,1,11,1,6,1,9,1,89,7
100,GÃœNEYMARMARA,BURSA,BURSA,40.1827657,29.0677305,319,0.98,0.73,43,1,35,1,61,1,32,1,45,1,111,2,100,2,82,1,64,1,79,1,74,1,101,2,824,13,31,1,25,0,44,1,23,0,33,1,80,1,73,1,59,1,47,1,57,1,53,1,73,1,599,10
101,GÃœNEYMARMARA,CAN,Ã‡ANAKKALE,39.98330425,26.96799011,278,0.92,0.75,4,0,3,0,5,0,3,0,4,0,11,1,13,1,8,1,7,1,9,1,8,1,6,1,81,7,3,0,2,0,4,0,2,0,3,0,8,1,10,1,6,1,5,0,7,1,6,1,5,0,60,5
102,GÃœNEYMARMARA,CANAKKALE,Ã‡ANAKKALE,40.0549886,26.9278292,311,0.71,0.74,4,2,6,2,7,3,5,2,7,3,27,11,23,9,12,5,10,4,12,5,9,4,13,5,136,54,3,1,4,2,5,2,4,2,5,2,20,8,17,7,9,4,8,3,9,3,7,3,10,4,101,40
103,GÃœNEYMARMARA,ESKÄ°ÅžEHÄ°R,ESKISEHIR,39.6821156,31.0723476,413,0.98,0.73,12,0,20,0,20,0,13,0,14,0,37,1,37,1,33,1,26,0,29,0,29,0,38,1,308,5,9,0,15,0,14,0,9,0,10,0,27,0,27,0,24,0,19,0,21,0,21,0,28,0,224,4
104,GÃœNEYMARMARA,EZINE,Ã‡ANAKKALE,39.80194375,26.30507973,270,0.54,0.65,2,1,1,1,2,2,2,1,3,2,12,10,11,10,5,5,3,2,3,3,2,2,3,2,49,42,1,1,1,1,1,1,1,1,2,2,8,7,7,6,4,3,2,1,2,2,1,1,2,2,32,27
105,GÃœNEYMARMARA,GONEN,BALIKESIR,37.92243325,30.4689137,264,0.59,0.76,2,1,3,2,3,2,2,2,2,2,5,4,7,5,6,4,5,3,5,4,4,3,9,6,55,38,2,1,3,2,2,1,2,1,2,1,4,3,6,4,5,3,4,3,4,3,3,2,7,4,42,29
106,GÃœNEYMARMARA,"ORHANGAZI,GEMLÄ°K",BURSA,40.4281003,29.1627089,350,0.92,0.69,4,0,7,1,7,1,4,0,6,0,15,1,21,2,12,1,8,1,10,1,10,1,9,1,112,9,3,0,5,0,5,0,3,0,4,0,10,1,14,1,8,1,5,0,7,1,7,1,6,1,77,6
107,GÃœNEYMARMARA,"SARICAKAYA,ESKÄ°ÅžEHÄ°R",ESKISEHIR,40.06411415,30.72710739,537,0.59,0.65,1,1,1,1,2,1,2,1,2,1,4,3,4,3,4,3,4,3,3,2,2,2,3,2,31,21,1,1,1,0,1,1,1,1,1,1,3,2,3,2,2,2,3,2,2,1,2,1,2,1,20,14
108,GÃœNEYMARMARA,SINDIRGI,BALIKESIR,39.2387054,28.1749129,141,0.06,0.65,0,2,0,1,0,2,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,2,0,4,2,28,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,1,0,3,1,18
109,GÃœNEYMARMARA,SUSURLUK,BALIKESIR,39.9478189,28.14817527,213,0.92,0.71,9,1,11,1,12,1,4,0,8,1,23,2,24,2,20,2,12,1,16,1,17,1,18,2,174,15,7,1,8,1,8,1,3,0,6,0,16,1,17,1,14,1,9,1,11,1,12,1,13,1,123,10
110,GÃœNEYMARMARA,KÃœTAHYA,KÃœTAHYA,39.2522508,29.4937732,359,0.65,0.75,2,1,4,2,3,2,2,1,2,1,8,5,8,4,5,3,5,2,5,3,4,2,4,2,52,28,1,1,3,2,2,1,2,1,2,1,6,3,6,3,4,2,3,2,4,2,3,1,3,2,39,21
111,GÃœNEYMARMARA,YALOVA,YALOVA,40.6291846,29.2500262,387,0.92,0.70,4,0,8,1,8,1,5,0,7,1,20,2,22,2,15,1,10,1,13,1,14,1,7,1,134,11,3,0,6,0,5,0,4,0,5,0,14,1,16,1,11,1,7,1,9,1,10,1,5,0,94,8
112,GÃœNEYMARMARA,YENISEHIR,BURSA,40.24849205,29.6210704,338,0.98,0.76,11,0,9,0,7,0,7,0,5,0,18,0,23,0,14,0,12,0,16,0,12,0,12,0,145,2,8,0,7,0,6,0,5,0,4,0,14,0,18,0,10,0,9,0,12,0,9,0,9,0,110,2
113,KUZEYEGE,AFYON,AFYON,38.6852729,30.6427411,324,0.78,0.71,5,2,5,1,5,1,4,1,3,1,9,3,9,3,11,3,9,2,6,2,8,2,5,1,81,23,4,1,4,1,4,1,3,1,2,1,7,2,7,2,8,2,6,2,4,1,6,2,4,1,58,16
114,KUZEYEGE,AKHISAR,MANISA,38.99408065,27.82477739,83,0.92,0.72,6,1,11,1,12,1,10,1,15,1,30,2,19,2,21,2,11,1,22,2,21,2,23,2,200,17,4,0,8,1,8,1,7,1,11,1,21,2,14,1,15,1,8,1,15,1,15,1,16,1,144,12
115,KUZEYEGE,AKSEHIR,KONYA,38.37446405,31.45157166,415,0.78,0.73,4,1,3,1,2,1,2,1,2,1,5,1,7,2,6,2,6,2,3,1,6,2,2,1,48,14,3,1,2,1,2,0,2,0,2,0,4,1,5,1,4,1,4,1,2,1,4,1,2,0,35,10
116,KUZEYEGE,ALIAGA,IZMIR,38.8009721,26.9729821,128,0.92,0.74,9,1,5,0,8,1,6,0,8,1,22,2,16,1,16,1,14,1,12,1,8,1,15,1,138,12,6,1,3,0,6,1,4,0,6,0,16,1,12,1,12,1,11,1,9,1,6,1,11,1,102,9
117,KUZEYEGE,AYVALIK,BALIKESIR,39.3172602,26.6937351,152,0.92,0.57,4,0,5,0,4,0,5,0,10,1,16,1,21,2,20,2,10,1,9,1,6,1,8,1,118,10,2,0,3,0,2,0,3,0,6,0,9,1,12,1,12,1,6,0,5,0,4,0,5,0,68,6
118,KUZEYEGE,DIKILI,IZMIR,39.07883315,26.92987308,112,0.98,0.69,5,0,8,0,10,0,4,0,12,0,27,0,24,0,22,0,14,0,8,0,15,0,11,0,160,3,4,0,6,0,7,0,3,0,8,0,19,0,16,0,15,0,10,0,5,0,10,0,7,0,110,2
119,KUZEYEGE,EDREMIT,BALIKESIR,39.67164005,26.88530985,186,0.98,0.76,6,0,6,0,5,0,5,0,7,0,21,0,18,0,24,0,10,0,8,0,8,0,8,0,124,2,4,0,4,0,4,0,3,0,5,0,16,0,14,0,18,0,8,0,6,0,6,0,6,0,94,2
120,KUZEYEGE,SALÄ°HLÄ°,MANISA,38.5300474,28.19478942,87,0.92,0.69,4,0,7,1,9,1,5,0,7,1,19,2,14,1,12,1,13,1,8,1,15,1,14,1,128,11,3,0,5,0,6,1,3,0,5,0,13,1,10,1,8,1,9,1,6,0,10,1,10,1,88,7
121,KUZEYEGE,SARUHANLI,MANISA,38.7816582,27.64399077,66,0.85,0.71,3,1,3,1,3,0,3,0,2,0,6,1,5,1,6,1,5,1,4,1,4,1,4,1,47,8,2,0,2,0,2,0,2,0,1,0,4,1,4,1,4,1,4,1,3,1,3,0,3,1,34,6
122,KUZEYEGE,TURGUTLU,MANISA,38.497029,27.7060854,48,0.92,0.75,9,1,8,1,6,1,6,1,7,1,24,2,16,1,13,1,12,1,9,1,12,1,12,1,136,11,7,1,6,1,5,0,5,0,5,0,18,2,12,1,9,1,9,1,7,1,9,1,9,1,102,9
123,KUZEYEGE,USAK,USAK,38.609666,29.3306506,210,0.78,0.76,2,0,4,1,3,1,3,1,4,1,7,2,8,2,6,2,8,2,5,2,5,1,7,2,61,17,1,0,3,1,2,1,2,1,3,1,5,2,6,2,5,1,6,2,4,1,4,1,5,1,47,13
124,TRAKYA,Ã‡ORLU,TEKIRDAG,41.11412615,27.75171525,558,0.98,0.73,12,0,20,0,10,0,13,0,13,0,35,1,26,0,34,1,19,0,20,0,22,0,22,0,246,4,9,0,14,0,7,0,10,0,9,0,25,0,19,0,25,0,14,0,14,0,16,0,16,0,179,3
125,TRAKYA,EDIRNE,EDIRNE,41.6759327,26.5587225,607,0.98,0.73,8,0,12,0,12,0,7,0,17,0,28,0,26,0,18,0,18,0,21,0,14,0,19,0,200,3,6,0,9,0,9,0,5,0,12,0,20,0,19,0,13,0,13,0,15,0,10,0,14,0,146,2
126,TRAKYA,GELIBOLU,CANAKKALE,40.5177489,26.78874459,447,0.92,0.69,3,0,3,0,5,0,4,0,7,1,16,1,17,1,15,1,6,1,6,0,4,0,4,0,90,8,2,0,2,0,3,0,3,0,5,0,11,1,12,1,10,1,4,0,4,0,3,0,3,0,62,5
127,TRAKYA,KESAN,EDIRNE,40.81726415,26.61062999,607,0.98,0.65,6,0,11,0,8,0,7,0,15,0,23,0,32,1,26,0,14,0,8,0,10,0,14,0,173,3,4,0,7,0,5,0,5,0,10,0,15,0,21,0,17,0,9,0,5,0,6,0,9,0,113,2
128,TRAKYA,LULEBURGAZ,KIRKLARELI,41.4034804,27.39641491,600,0.98,0.71,15,0,19,0,17,0,17,0,27,0,44,1,51,1,37,1,29,0,23,0,30,0,22,0,332,5,11,0,13,0,12,0,12,0,19,0,31,1,36,1,26,0,21,0,16,0,21,0,15,0,235,4
129,TRAKYA,SARAY,TEKIRDAG,41.4432588,27.88696847,549,0.98,0.73,11,0,11,0,14,0,8,0,16,0,32,1,26,0,17,0,22,0,16,0,15,0,22,0,210,3,8,0,8,0,10,0,6,0,11,0,23,0,19,0,12,0,16,0,12,0,11,0,16,0,152,2
130,TRAKYA,TEKIRDAG,TEKIRDAG,41.1185843,27.4144196,507,0.98,0.73,3,0,7,0,9,0,9,0,15,0,27,0,35,1,27,0,19,0,23,0,13,0,28,0,214,3,2,0,5,0,7,0,6,0,11,0,20,0,26,0,20,0,14,0,17,0,9,0,20,0,157,3
131,TRAKYA,UZUNKÃ–PRÃœ,EDIRNE,41.23445095,26.76422751,534,0.97,0.70,4,0,3,0,5,0,3,0,7,0,12,0,14,0,10,0,11,0,4,0,7,0,3,0,83,3,2,0,2,0,3,0,2,0,5,0,9,0,10,0,7,0,8,0,3,0,5,0,2,0,58,2
132,TURÄ°ZM,ALANYA,ANTALYA,36.5472591,32.0011182,598,0.98,0.68,6,0,6,0,7,0,8,0,16,0,26,0,36,1,48,1,44,1,32,1,10,0,9,0,248,4,4,0,4,0,5,0,6,0,11,0,18,0,25,0,33,1,30,0,22,0,7,0,6,0,170,3
133,TURÄ°ZM,ANTALYA,ANTALYA,36.9009641,30.6954846,451,0.98,0.61,6,0,5,0,8,0,7,0,9,0,17,0,24,0,45,1,29,0,27,0,10,0,10,0,197,3,4,0,3,0,5,0,4,0,5,0,10,0,15,0,27,0,18,0,16,0,6,0,6,0,121,2
134,TURÄ°ZM,ANTALYA,ANTALYA,36.9009641,30.6954846,451,0.98,0.73,23,0,26,0,28,0,24,0,27,0,75,1,55,1,47,1,42,1,27,0,36,1,68,1,479,8,17,0,19,0,20,0,17,0,20,0,54,1,40,1,35,1,31,0,20,0,26,0,50,1,348,6
135,TURÄ°ZM,BODRUM,MUGLA,37.06681635,27.48453043,243,0.98,0.65,7,0,8,0,9,0,9,0,16,0,28,0,38,1,40,1,23,0,16,0,10,0,9,0,214,3,5,0,5,0,6,0,6,0,10,0,18,0,25,0,26,0,15,0,10,0,7,0,6,0,139,2
136,TURÄ°ZM,DALYAN,MUGLA,36.8433611,28.6333081,282,0.98,0.75,4,0,4,0,5,0,5,0,6,0,11,0,13,0,15,0,13,0,9,0,6,0,7,0,96,2,3,0,3,0,4,0,3,0,4,0,8,0,9,0,11,0,9,0,6,0,5,0,6,0,72,1
137,TURÄ°ZM,DATCA,MUGLA,36.730467,27.55381845,344,0.54,0.72,0,0,1,1,1,0,0,0,1,1,3,2,4,3,4,4,2,2,1,1,1,1,1,1,20,17,0,0,1,0,0,0,0,0,1,1,2,2,3,2,3,3,2,1,1,1,1,1,1,1,14,12
138,TURÄ°ZM,DIDIM,AYDIN,37.4466145,27.34339066,142,0.98,0.68,2,0,2,0,3,0,3,0,5,0,13,0,17,0,18,0,8,0,5,0,3,0,4,0,85,1,1,0,2,0,2,0,2,0,3,0,9,0,11,0,13,0,6,0,4,0,2,0,3,0,58,1
